year,industry,code,label,label,6000201001O0,6000207003O0,6000403001O0,6000901001D3,6000901002D1,6000901002D3,6000902001D2,6000903001D2,6000903016D1,6000904001D3,6000906001D6,6000908001D2,6000908001D3,6000908001D7,CO10100170O0,DR00000052,DR00000082,DR00000113,DR00000136,DR00000156,FNMKFN02,S41000210FD1,S41000210FD2,S41B0D1009O0
2015,G,108790,0,0,1.809874131,1.498860852,0.214392342,15.30142549,-0.280118784,-0.227256721,2.424419947,-0.953679508,-0.160074248,1,-1.951849101,14.65168173,0.188471519,0,1.699797934,0,0,0,0,0,0,-0.073611905,0.379148828,0.525266414
2014,G,32190,0,0,1.809874131,1.498860852,2.044506952,17.80995253,0.07735122,-0.227256721,9.000589959,-1.56041658,-0.320547437,0,-1.951849101,16.50498919,0.087926383,0,1.284041373,0,0,1,0,0,0,0.93039772,1.103307815,0.525266414
2015,C,69620,0,0,0.042217188,0.201998894,2.044506952,16.01035267,0.07735122,0.24538154,2.424419947,-1.074353786,0.413390391,0,-1.951849101,16.29455531,0.20025542,0,0.563516654,0,0,0,0,0,0,0.063741735,-1.42953912,0.847319314
2013,C,12160,0,0,1.809874131,1.498860852,2.044506952,14.92455628,-0.129641858,0.24538154,2.424419947,-0.098416735,0.371398482,1,-1.951849101,14.76518194,0.125047365,0,0.543432196,0,0,0,0,0,0,0.151938313,0.349536519,0.525266414
2013,J,17670,0,0,1.809874131,1.498860852,2.044506952,19.37568717,-0.844786534,0.24538154,2.424419947,-0.170622916,0.552604192,0,-1.951849101,19.23879391,0.32681528,0,0.543432196,0,0,0,0,0,0,0.928789398,0.552583817,0.525266414
2016,C,150840,0,0,1.809874131,1.498860852,2.044506952,12.32425254,0.07735122,-0.227256721,2.424419947,-0.011429992,-1.019449646,0,-0.541453682,15.07034382,-1.622849433,1,0.543432196,1,0,0,0,0,0,-1.090614602,-0.693673308,0.405452927
2016,C,41910,0,0,1.809874131,1.498860852,2.044506952,13.71655618,0.07735122,0.24538154,2.424419947,-1.074353786,0.506051362,1,-1.951849101,14.58136853,0.226822034,0,0.543432196,0,0,0,0,0,0,-1.73213105,-1.224760192,0.934369875
2016,C,42110,0,0,1.809874131,1.498860852,2.044506952,13.9111058,0.07735122,-0.227256721,2.424419947,-1.074353786,0.181993704,0,-1.951849101,14.44120786,0.319470519,0,0.628309885,0,0,0,0,0,0,-0.262205522,-0.070581027,0.525266414
2017,C,44780,0,0,1.809874131,1.498860852,2.044506952,13.51618945,0.07735122,-0.227256721,2.424419947,-1.074353786,0.268524768,1,-1.951849101,13.35304896,0.013302104,0,0.543432196,0,0,0,0,0,0,-0.820088889,-0.124404625,0.525266414
2017,G,215480,0,0,0.196881102,1.18227712,2.044506952,12.56425287,0.07735122,-0.227256721,2.424419947,-1.074353786,-0.076532784,0,-1.951849101,13.83254444,0.087866935,0,0.543432196,1,0,0,0,0,0,0.430575424,1.123906695,2.032846206
