main,key,origin_code,code_nm,type,size,gap_size,mean,median,min,max,stdev
M111,DR00000052,52,y1_대표이사변경,count,,,0.147915028,0,0,4,0.438919567
,DR00000053,53,y1_금전대여,count,,,0.035536323,0,0,5,0.231124475
M122,DR00000054,54,y1_투자주의,count,,,0.481117231,0,0,9,0.992482951
,DR00000055,55,y1_원리금연체,count,,,0.005769735,0,0,4,0.096995334
M123,DR00000056,56,y1_추가상장,count,,,0.683451351,0,0,12,1.418650432
,DR00000057,57,y1_유동성공급계약해지,count,,,0.00380278,0,0,1,0.06154932
,DR00000058,58,y1_상호변경,count,,,0.05337005,0,0,4,0.311354829
M118,DR00000059,59,y2_매매거래정지,count,,,0.084316811,0,0,5,0.363345524
,DR00000060,60,y2_횡령및배임,count,,,0.004458432,0,0,1,0.066622474
,DR00000061,61,y2_회생절차폐지,count,,,0,0,0,0,0
,DR00000062,62,y2_회생절차,count,,,0.00393391,0,0,1,0.062597401
,DR00000063,63,y2_회사분할합병,count,,,0.117755049,0,0,4,0.359986589
,DR00000064,64,y2_현저한시황변동_급락,count,,,0.014030947,0,0,2,0.125179488
,DR00000065,65,y2_현저한시황변동_급등,count,,,0.131785995,0,0,5,0.422075578
,DR00000066,66,y2_현저한시황변동,count,,,0.296616837,0,0,13,0.686600683
,DR00000067,67,y2_해산사유발생,count,,,0.001704694,0,0,2,0.047183788
,DR00000068,68,y2_풍문또는보도,count,,,0.076580121,0,0,5,0.325761874
,DR00000069,69,y2_풋백옵션계약,count,,,0.004196171,0,0,2,0.066639507
,DR00000070,70,y2_투자자보호관련,count,,,0,0,0,0,0
,DR00000071,71,y2_타인담보결정,count,,,0,0,0,0,0
M113,DR00000072,72,y2_타법인주식및출자증권양도,count,,,0.036191975,0,0,5,0.235798028
,DR00000073,73,y2_최대주주변동,count,,,1.714922633,0,0,24,3.672828938
,DR00000074,74,y2_채무인수,count,,,0,0,0,0,0
,DR00000075,75,y2_채무보증,count,,,0.00013113,0,0,1,0.011450465
,DR00000076,76,y2_채무면제,count,,,0,0,0,0,0
,DR00000077,77,y2_조건부자본발행,count,,,0,0,0,0,0
,DR00000078,78,y2_자산및영업양수도,count,,,0.191188041,0,0,9,0.498785285
,DR00000079,79,y2_자사주취득해지,count,,,0.154471545,0,0,7,0.49625301
